"X","Y","Pb","Elevation","Slope","Aspect","Plan.Curvature","Profile.Curvature","TWI","MRVBF","MRRTF","Population","Landuse"
254230,657180,141.1,82.19999695,0.010769919,2.761085033,-0.003073628,-0.000286849,9.296439171,3.77543807,0.001654183,422,20
255730,656700,344.4,103.1999969,0.02213233,5.961432457,0.0170763,-0.000337755,9.750635147,2.228157282,3.399273872,2157,21
254710,657310,88,82.40000153,0.037198402,0.53581202,-0.001102744,0.000140748,8.413239479,2.020036936,0.021300551,422,4
256170,674390,65.1,67.69999695,0.05303501,3.085050106,0.001512482,-0.000318943,8.055771828,1.614789248,2.112431288,492,4
255850,673640,63.2,37.70000076,0.016123142,4.588033676,-0.024196275,-4.98e-05,9.967139244,3.986947775,1.982956052,1937,1
256000,655880,40.9,110,0.044914152,1.007479191,-0.000266138,-0.000745778,8.809119225,1.859593153,0.068207316,2375,21
256490,673480,54.4,37.09999847,0.023017639,5.312439442,0.006771243,0.000163982,9.482975006,4.494755745,0.907008886,281,3
254140,655760,170.1,115.3000031,0.02911225,1.849096656,-0.009381922,-0.000326376,8.876691818,1.916850328,0.032713424,3334,21
253740,672850,43.3,76.5,0.178033724,3.523131371,0.004243006,-0.001414243,7.080033779,0.441182971,0.017142324,3258,21
253780,655680,97.6,132,0.049457122,1.712692738,9.69e-05,0.000672725,9.01691246,1.717576981,0.12258894,3178,21
252880,656790,47.7,110.8000031,0.056508306,1.428898692,0.001803159,0.00017715,8.322482109,0.606696665,0.700537264,2674,21
252840,673350,78.7,100.8000031,0.047973532,3.162424326,-0.019607402,-0.002191059,8.540719032,1.679067492,0.013970939,1306,21
256320,656630,62.7,101.5999985,0.015810071,1.892546892,-0.037314974,-5e-05,9.139342308,2.001198053,3.671396732,1979,21
255430,674700,510.4,67.80000305,0.095152803,3.755752087,0.013423905,5.8e-05,7.435666084,0.031056797,0.933325589,2833,21
254860,672840,105.9,59.5,0.072055347,6.102092743,0.000685582,-0.001358853,7.77559948,1.693369865,0.105738021,2785,21
254660,656900,51.2,87.09999847,0.089895837,5.943892479,-0.017564725,-0.001063747,8.705639839,0.947158337,0.015778394,2297,4
252140,656390,42.4,131.6999969,0.034045704,6.224430561,0.00029959,0.000229393,8.619401932,0.301952183,2.88358593,2674,4
256570,656130,130.5,120.5999985,0.022132305,1.892545819,0.017528042,0.000171873,9.187824249,0.047566909,2.982955456,1979,4
254770,673150,643.2,59.20000076,0.026470205,1.760784745,-0.01285345,-3.96e-05,8.402564049,2.458801031,0.425166845,2228,21
253290,673130,81.1,85.09999847,0.036205698,3.030935049,-0.007676393,-0.000401161,8.696098328,1.89311862,0.113636151,2546,21
253730,656730,777.1,84,0.021467626,2.05527401,-0.008138957,-0.000564859,9.189023018,3.597107649,0.006682259,3525,21
253700,655230,40.6,144.8000031,0.017718308,3.427642107,0.029219313,0.000122174,9.771970749,0.71132046,2.608071804,3178,21
254260,674080,49,70.40000153,0.041025642,2.165555477,-0.020398702,-0.000660987,8.028003693,1.162919283,0.879619479,3849,21
254180,655170,44,132.6999969,0.038607314,5.91229248,-0.014078652,-0.000335442,8.740731239,2.162742853,0.007621512,3334,21
254300,675220,106.5,82.59999847,0.016154084,1.951301813,0.020319749,0.000171656,9.730362892,0.507818341,2.578723192,1301,1
254730,674800,62.7,61.5,0.042165063,2.119345665,-0.004501822,-0.000329188,8.628620148,2.477577925,0.090748698,3849,21
255290,655230,92.8,129.5,0.061638895,5.183282375,0.000803996,0.000527364,8.520392418,0.397141665,1.413234949,2375,20
255140,672920,259.6,64.59999847,0.098713405,5.526350975,0.000479002,-0.001032216,7.198711872,0.797758281,0.067594588,1408,21
253910,673670,103.3,70.40000153,0.02308275,1.878850341,-0.000448527,-9.64e-06,8.601026535,2.44468379,0.028731029,2546,4
255240,656920,120.8,92.59999847,0.121835366,5.382028103,-0.001302219,-0.000157011,8.301383972,0.882317781,0.020766415,2157,21
253850,654790,41.5,141.1000061,0.048232734,6.053283215,-0.003572703,-0.000585492,8.428636551,1.792061687,0.031205019,920,21
255850,657110,129.1,89.30000305,0.020022308,4.762346745,0.006331302,1.32e-05,8.457480431,1.961521387,0.100031503,1124,4
254740,655690,164.2,111.3000031,0.015295857,1.373403668,0.017147733,0.000257603,10.27821445,2.919313431,1.98275888,3334,21
253190,655160,111.1,143,0.05875393,2.187093735,-0.00246223,0.000223669,9.248661041,1.854701281,0.294629425,3178,21
253830,673250,118.2,83,0.096364997,1.144168973,-0.006062493,-0.000171563,7.836055756,0.34879452,0.444227099,2546,21
256270,657160,106.8,96.5,0.020220997,3.29048419,-0.016040668,-5.56e-05,8.671490669,1.886272669,1.700181007,4157,4
255310,675200,100.1,76.19999695,0.086924016,4.769796848,0.001259586,0.000721993,7.774886131,0.135384291,0.926066577,778,21
255880,672900,50.4,43.40000153,0.15521507,5.670365334,0.001419167,-0.000407021,7.038767815,0.45768562,0.027404115,1408,4
254300,656110,258.6,111.5,0.025489597,1.124691844,0.006296181,3.94e-05,9.522339821,0.536761999,2.785094738,2297,21
252790,656220,45,120.0999985,0.026620738,2.169215918,0.009778284,0.000239379,9.62868309,2.818910599,1.89037621,2674,21
254690,655260,55.6,124.4000015,0.105213135,0.429762155,0.002223203,0.000516557,8.210609436,0.389648944,0.278703421,3334,21
255160,675630,80.6,84.19999695,0.105512328,3.331580877,0.007928357,0.001534453,6.953189373,0.054816946,0.833503187,778,1
254360,674830,33.9,77.59999847,0.078584254,0.866302431,-0.003919915,0.00056343,8.676107407,0.286168426,1.258731842,3849,21
253690,675300,100.2,97.19999695,0.055548571,0.657888651,-0.003583754,7.89e-05,8.826083183,1.861681223,0.039889306,446,1
253120,656110,45.9,105.5999985,0.068854727,5.988950729,-0.005962621,0.000726016,8.721268654,1.957296491,0.020090595,3525,21
